Federated Investors, Inc.;Federated	Federated
Cinemark Holdings, Inc.;Cinemark	喜满客
Clearwater Paper Corporation;Clearwater Paper	Clearwater Paper
Compass Minerals International, Inc.;Compass Minerals	Compass Minerals
IRSA Inversiones y Representaciones Sociedad Anónima;IRSA	IRSA
Laredo Petroleum, Inc.;Laredo Petroleum	Laredo Petroleum
CoreLogic, Inc.;CoreLogic	CoreLogic
Ameresco, Inc.	Ameresco, Inc.
AngloGold Ashanti Limited	AngloGold Ashanti Limited
FactSet Research Systems Inc.	FactSet Research Systems Inc.
Flanigan's Enterprises, Inc.	Flanigan's Enterprises, Inc.
Energen Corporation	爱内珍公司
Energizer Holdings, Inc.	Energizer Holdings, Inc.
FleetCor Technologies, Inc.;FleetCor	FleetCor
Furmanite Corporation	弗曼奈特国际有限公司
Haemonetics Corporation;Haemonetics	Haemonetics
Colony Bankcorp, Inc.;Colony Bank	科勒尼银行
Community Trust Bancorp, Inc.;Community Trust Bank	社区信托银行
Community West Bancshares;Community West Bank	西部社区银行
DNB Financial Corporation;DNB Financial	DNB金融
Fidelity Southern Corporation;Fidelity Southern	富达南方银行
Civista Bancshares, Inc.	Civista Bancshares, Inc.
German American Bancorp, Inc.	German American Bancorp, Inc.
Glacier Bancorp, Inc.	Glacier Bancorp, Inc.
Glen Burnie Bancorp	Glen Burnie Bancorp
Great Southern Bancorp, Inc.	Great Southern Bancorp, Inc.
Guaranty Bancorp	Guaranty Bancorp
Guaranty Federal Bancshares, Inc.	Guaranty Federal Bancshares, Inc.
Hawthorn Bancshares, Inc.	Hawthorn Bancshares, Inc.
Heartland Financial USA, Inc.	Heartland Financial USA, Inc.
Heritage Commerce Corp	Heritage Commerce Corp
International Bancshares Corporation	International Bancshares Corporation
Jacksonville Bancorp, Inc.	Jacksonville Bancorp, Inc.
Lakeland Bancorp, Inc.	Lakeland Bancorp, Inc.
Lakeland Financial Corporation	Lakeland Financial Corporation
Landmark Bancorp, Inc.	Landmark Bancorp, Inc.
LCNB Corp.	LCNB Corp.
MainSource Financial Group, Inc.;MainSource	MainSource
Marlin Business Services Corp.	Marlin Business Services Corp.
Mid Penn Bancorp, Inc.	Mid Penn Bancorp, Inc.
MidWestOne Financial Group, Inc.;MidWestOne	MidWestOne
Limestone Bancorp, Inc.	Limestone Bancorp, Inc.
Hanger, Inc.	Hanger, Inc.
HollyFrontier Corporation;HollyFrontier	HollyFrontier
Avista Corporation	Avista Corporation
AVX Corporation	AVX Corporation
Blount International, Inc.	布朗特国际有限公司
Broadridge Financial Solutions, Inc.;Broadridge	布罗德里奇
Bristow Group Inc.	Bristow Group Inc.
CACI International Inc.;CACI	CACI
American Realty Investors, Inc.	American Realty Investors, Inc.
CNA Financial Corporation;CNA	CNA
Costamare Inc.;Costamare	Costamare
Evercore Inc.;Evercore	Evercore
General Cable Corporation	General Cable Corporation
CalAtlantic Group, Inc.	CalAtlantic Group, Inc.
Enel Americas S.A.	Enel Americas S.A.
Fair Isaac Corporation	Fair Isaac Corporation
Capri Holdings Limited	Capri Holdings Limited
Fly Leasing Limited	Fly Leasing Limited
Bally Technologies, Inc.	巴利技术公司
Build-A-Bear Workshop, Inc.	Build-A-Bear Workshop, Inc.
Cabela’s Incorporated	Cabela’s Incorporated
CPFL Energia S.A.;CPFL Energia	CPFL Energia
Donegal Group, Inc.	Donegal Group, Inc.
Global Indemnity Limited;Global Indemnity	Global Indemnity
Greenlight Capital Re, Ltd.;Greenlight Re	Greenlight Re
Maiden Holdings, Ltd.;Maiden Re	Maiden Re
Maiden Holdings, Ltd.;Maiden Re	Maiden Re
Colliers International Group Inc.;Colliers International	高力国际
ILG, Inc.	ILG, Inc.
Atlantic Coast Financial Corporation	Atlantic Coast Financial Corporation
Capitol Federal Financial, Inc.	Capitol Federal Financial, Inc.
Carver Bancorp, Inc.	Carver Bancorp, Inc.
Central Federal Corporation	Central Federal Corporation
Charter Financial Corporation	Charter Financial Corporation
Citizens Community Bancorp, Inc.	Citizens Community Bancorp, Inc.
Clifton Bancorp Inc.	Clifton Bancorp Inc.
Codorus Valley Bancorp, Inc.;Codorus Valley	Codorus Valley
Kentucky First Federal Bancorp	肯塔基第一联邦银行
Magyar Bancorp, Inc.	Magyar Bancorp, Inc.
Meta Financial Group, Inc.	Meta Financial Group, Inc.
MSB Financial Corp.	MSB Financial Corp.
Kingstone Companies, Inc.	Kingstone Companies, Inc.
Acorda Therapeutics, Inc.;Acorda Therapeutics	阿索尔达治疗
Compugen Ltd.;Compugen	Compugen
Curis, Inc.;Curis	Curis
CytRx Corporation;CytRx	赛特雷
Genetic Technologies Limited	基因技术有限责任公司
Halozyme Therapeutics, Inc.;Halozyme	奥洛兹美
Heska Corporation;Heska	赫斯卡
Idera Pharmaceuticals, Inc.;Idera	依德拉
Idera Pharmaceuticals, Inc.;Idera	依德拉
Momenta Pharmaceuticals, Inc.;Momenta	Momenta
Cleveland BioLabs, Inc.;Cleveland BioLabs	克利夫兰生物
ICON public limited company;ICON plc	ICON plc
Incyte Corporation;Incyte	Incyte
Cascadian Therapeutics, Inc.	Cascadian Therapeutics, Inc.
Cutera, Inc.;Cutera	Cutera
Digirad Corporation;Digirad	Digirad
IDEX Corporation;IDEX	IDEX
CHF Solutions, Inc.;CHF Solutions	CHF Solutions
Cogentix Medical, Inc.	Cogentix Medical, Inc.
Eaton Vance Corp.	Eaton Vance Corp.
Yamana Gold Inc.;Yamana Gold	Yamana Gold
Flowers Foods, Inc.;Flowers Foods	Flowers Foods
Gartner, Inc.;Gartner	Gartner
Headwaters Incorporated	水源建筑材料
Hecla Mining Company	Hecla Mining Company
James Hardie Industries plc;James Hardie	詹姆斯哈迪
K12 Inc.	K12 Inc.
VAALCO Energy, Inc.	VAALCO Energy, Inc.
VAALCO Energy, Inc.	VAALCO Energy, Inc.
Forest Oil Corporation	森林石油公司
Fortegra Financial Corporation	Fortegra 投资
Herbalife Nutrition Ltd.;Herbalife	康宝莱
Bausch Health Companies Inc.;Bausch Health	Bausch Health
Flotek Industries, Inc.;Flotek	Flotek
Flotek Industries, Inc.;Flotek	Flotek
Halcon Resources Corporation;Halcon Resources	Halcon Resources
Aptiv PLC;Aptiv	Aptiv
AXIS Capital Holdings Limited;AXIS	AXIS
Bunge Limited;Bunge	Bunge
Arch Capital Group Ltd.	Arch Capital Group Ltd.
Coty Inc.;Coty	科蒂
IDEXX Laboratories, Inc.;IDEXX	IDEXX
Immunomedics, Inc.;Immunomedics	Immunomedics
Achieve Life Sciences, Inc.;Achieve Life Sciences	Achieve Life Sciences
Vermillion, Inc.;Vermillion	Vermillion
Allied Healthcare Products, Inc.	Allied Healthcare Products, Inc.
Lakeland Industries, Inc.;Lakeland	雷克兰
Acadia Healthcare Company, Inc.;Acadia Healthcare	Acadia Healthcare
Genomic Health, Inc.;Genomic Health	Genomic Health
ABIOMED, Inc.;ABIOMED	ABIOMED
Cardiovascular Systems, Inc.	Cardiovascular Systems, Inc.
CAS Medical Systems, Inc.;CASMED	CASMED
Cerus Corporation;Cerus	Cerus
Cytori Therapeutics, Inc.;Cytori	赛托瑞
Delcath Systems, Inc.;Delcath	Delcath
GenMark Diagnostics, Inc.;GenMark	GenMark
ICU Medical, Inc.;ICU Medical	ICU Medical
LeMaitre Vascular, Inc.;LeMaitre Vascular	LeMaitre Vascular
Luminex Corporation;Luminex	Luminex
Merit Medical Systems, Inc.;Merit Medical	Merit Medical
Addus HomeCare Corporation	Addus HomeCare Corporation
Almost Family, Inc.	Almost Family, Inc.
J.B. Hunt Transport Services, Inc.	JB亨特运输服务公司
EQT Corporation;EQT	EQT
Big Lots, Inc.;Big Lots	Big Lots
ASHLAND INC.	亚什兰公司
Alexandria Real Estate Equities, Inc.	Alexandria Real Estate Equities, Inc.
AvalonBay Communities, Inc.;AvalonBay Communities	AvalonBay Communities
Mack-Cali Realty Corporation;Mack-Cali	Mack-Cali
Essex Property Trust, Inc.	Essex Property Trust, Inc.
Alere Inc.;Alere	美艾利尔
AutoNation, Inc.;AutoNation	车之国
BE AEROSPACE, INC.	BE航空航天股份有限公司
CNX Resources Corporation;CNX Resources	CNX Resources
DaVita Inc.;DaVita	达维塔
eBay Inc.;eBay	易趣
EOG Resources, Inc.;EOG Resources	依欧格资源
FMC Corporation	FMC Corporation
LinkedIn Corporation	LinkedIn公司
Booking Holdings Inc.;Booking Holdings	普利斯林控股
AMETEK, Inc.;AMETEK	阿美特克
BorgWarner Inc.;BorgWarner	博格华纳
Activision Blizzard, Inc.;AB	动视暴雪
CA, Inc.;CA	CA
CA, Inc.;CA	CA
Brookfield Property REIT Inc.;Brookfield Property	布鲁克菲尔德地产
Alliant Energy Corporation;Alliant Energy	Alliant Energy
C. R. Bard, Inc.	C. R. Bard, Inc.
AutoZone, Inc.;AutoZone	汽车地带
Avnet, Inc.;Avnet	安富利
Becton, Dickinson and Company;Becton, Dickinson	碧迪
Brandywine Realty Trust;Brandywine Realty	Brandywine Realty
Federal Realty Investment Trust;Federal Realty	Federal Realty
Exceed Company Ltd.	喜得龙集团公司
Arcos Dorados Holdings Inc.	Arcos Dorados Holdings Inc.
Atlanticus Holdings Corporation	Atlanticus Holdings Corporation
Blackhawk Network Holdings, Inc.	Blackhawk Network Holdings, Inc.
Chanticleer Holdings, Inc.;Chanticleer Holdings	Chanticleer Holdings
Compass Group Diversified Holdings LLC	Compass Group Diversified Holdings LLC
Compass Group Diversified Holdings LLC	Compass Group Diversified Holdings LLC
Endurance Specialty Holdings Ltd.	Endurance Specialty Holdings Ltd.
LHC Group, Inc.	LHC Group, Inc.
Cass Information Systems, Inc.	Cass Information Systems, Inc.
Cinedigm Corp.;Cinedigm	Cinedigm
CoStar Group, Inc.;CoStar Group	CoStar Group
Limelight Networks, Inc.;Limelight Networks	Limelight Networks
Interpace Diagnostics Group, Inc.	Interpace Diagnostics Group, Inc.
IKONICS Corporation;IKONICS	IKONICS
Acacia Research Corporation;Acacia	Acacia
InterDigital, Inc.	InterDigital, Inc.
Multi-Color Corporation	Multi-Color Corporation
Capital Southwest Corporation;Capital Southwest	Capital Southwest
Chembio Diagnostics, Inc.	Chembio Diagnostics, Inc.
Gladstone Investment Corporation;Gladstone Investment	Gladstone Investment
Engility Holdings, Inc.;Engility	Engility
Archrock, Inc.;Archrock	Archrock
FedNat Holding Company;FedNat	FedNat
LPL Financial Holdings Inc.;LPL Financial	LPL Financial
IQVIA Holdings Inc.;IQVIA	IQVIA
Ambac Financial Group, Inc.;Ambac	Ambac
Apollo Commercial Real Estate Finance, Inc.;Apollo Commercial Real Estate Finance	Apollo Commercial Real Estate Finance
Ellington Financial Inc.;Ellington Financial	Ellington Financial
FBL Financial Group, Inc.	FBL Financial Group, Inc.
AAR CORP.;AAR	AAR
Accelerate Diagnostics, Inc.;Accelerate Diagnostics	Accelerate Diagnostics
AeroVironment, Inc.;AeroVironment	AeroVironment
Alabama Power Company;Alabama Power	Alabama Power
Golub Capital BDC, Inc.;Golub Capital	Golub Capital
Horizon Technology Finance Corporation;Horizon Technology Finance	Horizon Technology Finance
Horizon Technology Finance Corporation;Horizon Technology Finance	Horizon Technology Finance
KCAP Financial, Inc.;KCAP	KCAP
KCAP Financial, Inc.;KCAP	KCAP
Ideanomics, Inc.;Ideanomics	优点互动
Casella Waste Systems, Inc.;Casella	Casella
Delta Natural Gas Company, Inc.	Delta Natural Gas Company, Inc.
ADTRAN, Inc.	ADTRAN, Inc.
Ciena Corporation;Ciena	Ciena科技
Ciena Corporation;Ciena	Ciena科技
DragonWave Inc.	DragonWave Inc.
GCI Liberty, Inc.;GCI	GCI
Infinera Corporation;Infinera	英飞朗
Internet Gold – Golden Lines Ltd.;Internet Gold	金线网络
Lumos Networks Corp.	Lumos Networks Corp.
Mer Telemanagement Solutions Ltd.	Mer Telemanagement Solutions Ltd.
Cadiz Inc.	Cadiz Inc.
Connecticut Water Service, Inc.;Connecticut Water	Connecticut Water
Consolidated Water Co. Ltd.;Consolidated Water	Consolidated Water
Middlesex Water Company;Middlesex	Middlesex
Digi International Inc.;Digi International	美国迪进国际
CCUR Holdings, Inc.	CCUR Holdings, Inc.
Identiv, Inc.;Identiv	Identiv
Immersion Corporation;Immersion	Immersion
Mitek Systems, Inc.	Mitek Systems, Inc.
ACI Worldwide, Inc.	ACI Worldwide, Inc.
Cogent Communications Holdings, Inc.;Cogent	Cogent
Commvault Systems, Inc.;Commvault	康沃
Cornerstone OnDemand, Inc.	Cornerstone OnDemand, Inc.
Guidance Software, Inc.	Guidance Software, Inc.
MicroStrategy Incorporated;MicroStrategy	MicroStrategy
Determine, Inc.;Determine	Determine
The Descartes Systems Group Inc.;Descartes	Descartes
Great Elm Capital Group, Inc.;Great Elm Capital	Great Elm Capital
HealthStream, Inc.;HealthStream	HealthStream
Internap Corporation;Internap	Internap
Internet Initiative Japan Inc.;IIJ	IIJ
Heidrick & Struggles International, Inc.;Heidrick & Struggles	海德思哲
McGrath RentCorp	McGrath RentCorp
Mitcham Industries, Inc.	Mitcham Industries, Inc.
Callidus Software Inc.	Callidus Software Inc.
Carbonite, Inc.;Carbonite	Carbonite
Arcturus Therapeutics, Ltd;Arcturus Therapeutics	Arcturus Therapeutics
Alexander’s, Inc.;Alexander’s	亚历山大
Alliance HealthCare Services, Inc.	Alliance HealthCare Services, Inc.
Alliance HealthCare Services, Inc.	Alliance HealthCare Services, Inc.
Alliance Resource Partners, L.P.	Alliance Resource Partners, L.P.
Alon USA Partners, LP	Alon USA Partners, LP
Alpha Pro Tech, Ltd.	Alpha Pro Tech, Ltd.
America First Multifamily Investors, L.P.	America First Multifamily Investors, L.P.
US Ecology, Inc.;US Ecology	US Ecology
American Midstream Partners, LP;American Midstream	American Midstream
AmeriGas Partners, L.P.;AmeriGas	AmeriGas
AMERISAFE, Inc.;AMERISAFE	AMERISAFE
AMREP Corporation;AMREP	AMREP
AngioDynamics, Inc.;AngioDynamics	AngioDynamics
Anworth Mortgage Asset Corporation;Anworth Mortgage	安沃思抵押
Anworth Mortgage Asset Corporation;Anworth Mortgage	安沃思抵押
A. O. Smith Corporation;A. O. Smith	A. O. Smith
Computer Task Group, Incorporated;CTG	CTG
Computer Task Group, Incorporated;CTG	CTG
CSG Systems International, Inc.	CSG Systems International, Inc.
CSP Inc.	CSP Inc.
Digimarc Corporation;Digimarc	Digimarc
Glu Mobile Inc.;Glu	Glu
Innodata Inc.;Innodata	Innodata
Intersections Inc.;Intersections	Intersections
Live Ventures Incorporated	Live Ventures Incorporated
The KeyW Holding Corporation;KeyW	KeyW
Axcelis Technologies, Inc.;Axcelis	Axcelis
CVD Equipment Corporation;CVD	CVD
CVD Equipment Corporation;CVD	CVD
Key Technology, Inc.	Key Technology, Inc.
Lincoln Electric Holdings, Inc.;Lincoln Electric	林肯电气
Makita Corporation	Makita Corporation
Manitex International, Inc.;Manitex International	Manitex International
The Middleby Corporation;The Middleby	美得比
Cross Country Healthcare, Inc.	Cross Country Healthcare, Inc.
Hudson Global, Inc.;Hudson	瀚德
Kelly Services, Inc.;Kelly Services	凯利服务
Kforce Inc.;Kforce	Kforce
CalAmp Corp.;CalAmp	CalAmp
Ceragon Networks Ltd.;Ceragon Networks	Ceragon网络
ARC Group Worldwide, Inc.;ARC Group Worldwide	ARC Group Worldwide
Argos Therapeutics, Inc.	Argos Therapeutics, Inc.
ARMOUR Residential REIT, Inc.;ARMOUR Residential REIT	ARMOUR Residential REIT
ArQule, Inc.;ArQule	ArQule
ASA Ltd	ASA Gold and Precious Metals Limited
Asanko Gold Inc.;Asanko Gold	Asanko Gold
Ascent Capital Group, Inc.	Ascent Capital Group, Inc.
ASM International NV	ASM International N.V.
ASML Holding N.V.;ASML	ASML
Atrion Corporation	Atrion Corporation
Attunity Ltd.;Attunity	Attunity
B&G Foods, Inc.	B&G Foods, Inc.
B&G Foods, Inc.	B&G Foods, Inc.
BancFirst Corporation	BancFirst Corporation
Banro Corporation	Banro Corporation
Barnes Group Inc.	Barnes Group Inc.
Basic Energy Services, Inc.;Basic Energy Services	Basic Energy Services
bebe stores, inc.;bebe	碧碧
BioAmber Inc.;BioAmber	BioAmber
Boardwalk Pipeline Partners, LP	Boardwalk Pipeline Partners, LP
BP Prudhoe Bay Royalty Trust	BP Prudhoe Bay Royalty Trust
Braskem S.A.;Braskem	Braskem
BRF S.A.	BRF S.A.
Bright Horizons Family Solutions Inc.;Bright Horizons Family Solutions	Bright Horizons Family Solutions
Brookfield Canada Office Properties	Brookfield Canada Office Properties
Brookfield Infrastructure Partners L.P.;Brookfield	Brookfield
BSQUARE Corporation;BSQUARE	BSQUARE
Buckeye Partners, L.P.	Buckeye Partners, L.P.
Calumet Specialty Products Partners, L.P.	Calumet Specialty Products Partners, L.P.
Capital Product Partners L.P.	Capital Product Partners L.P.
Lindblad Expeditions Holdings, Inc.	Lindblad Expeditions Holdings, Inc.
Capstead Mortgage Corporation;Capstead	Capstead
Cedar Fair, L.P.;Cedar Fair	Cedar Fair
Centrais Elétricas Brasileiras S.A.;Eletrobras	Eletrobras
ChannelAdvisor Corporation;ChannelAdvisor	畅路销
Chimerix, Inc.;Chimerix	Chimerix
Digital Ally, Inc.;Digital Ally	Digital Ally
Gilat Satellite Networks Ltd.	吉来特卫星网络公司
KVH Industries, Inc.;KVH Industries	KVH通信
Mitel Networks Corporation;Mitel Networks	Mitel Networks
Cabot Microelectronics Corporation;Cabot Microelectronics	Cabot Microelectronics
Cavium, Inc.	Cavium, Inc.
Cirrus Logic, Inc.;Cirrus Logic	凌云逻辑
Cypress Semiconductor Corporation;Cypress	赛普拉斯
Diodes Incorporated;Diodes	Diodes
DSP Group, Inc.;DSP Group	DSP Group
GSI Technology, Inc.;GSI Technology	GSI Technology
Integrated Device Technology, Inc.;Integrated Device Technology	Integrated Device Technology
Intermolecular, Inc.;Intermolecular	Intermolecular
Kopin Corporation;Kopin	Kopin
Kulicke and Soffa Industries, Inc.;Kulicke & Soffa	Kulicke & Soffa
MACOM Technology Solutions Holdings, Inc.;MACOM	MACOM
Mellanox Technologies, Ltd.;Mellanox Technologies	Mellanox Technologies
Microsemi Corporation	Microsemi Corporation
Monolithic Power Systems, Inc.;MPS	MPS
MoSys, Inc.;MoSys	MoSys
SemiLEDs Corporation;SemiLEDs	SemiLEDs
Performance Shipping Inc.	Performance Shipping Inc.
Compania de Minas Buenaventura S.A.A.	Compania de Minas Buenaventura S.A.A.
Companhia Paranaense de Energia;Copel	Copel
ClearSign Combustion Corporation	ClearSign Combustion Corporation
CONMED Corporation	CONMED Corporation
Finjan Holdings, Inc.	Finjan Holdings, Inc.
CoreSite Realty Corporation;CoreSite	CoreSite
Itau Corpbanca	Itau Corpbanca
CounterPath Corporation;CounterPath	CounterPath
CyrusOne Inc.;CyrusOne	CyrusOne
Diversicare Healthcare Services, Inc.	Diversicare Healthcare Services, Inc.
Dover Motorsports, Inc.	Dover Motorsports, Inc.
Dycom Industries, Inc.	Dycom Industries, Inc.
Dynex Capital, Inc.	Dynex Capital, Inc.
EastGroup Properties, Inc.	EastGroup Properties, Inc.
Ecopetrol S.A.	Ecopetrol S.A.
El Paso Electric Company	阿尔帕索电力公司
Entertainment Gaming Asia Inc.	Entertainment Gaming Asia Inc.
Entertainment Gaming Asia Inc.	Entertainment Gaming Asia Inc.
DryShips Inc.	DryShips Inc.
Globus Maritime Limited;Globus Maritime	Globus Maritime
StealthGas Inc.;StealthGas	StealthGas
Forward Air Corporation;Forward Air	Forward Air
Atlas Air Worldwide Holdings, Inc.	Atlas Air Worldwide Holdings, Inc.
Covenant Transportation Group, Inc.	Covenant Transportation Group, Inc.
Heartland Express, Inc.;Heartland Express	Heartland Express
Marten Transport, Ltd.	Marten Transport, Ltd.
Dole Food Company Inc.;Dole Food	都乐食品
Cytec Industries Inc;Cytec Industries	氰特工业
Kraft Foods Group, Inc.;Kraft Foods Group	卡夫北美杂货
The Adt Corporation;The ADT	The ADT
Choice Hotels International, Inc.	Choice Hotels International, Inc.
Covanta Holding Corporation;Covanta	卡万塔
Intercept Pharmaceuticals, Inc.;Intercept Pharmaceuticals	Intercept Pharmaceuticals
Kythera Biopharmaceuticals Inc;Kythera Biopharmaceuticals	Kythera生物制药
Javelin Mortgage Investment	Javelin Mortgage Investment
Capital Bank Financial Corp.	Capital Bank Financial Corp.
